family,date,ff_to_iem_beta,iem_to_ff_beta,ff_to_iem_change,iem_to_ff_change,ff_to_iem_pct_change,iem_to_ff_pct_change
51:0102,2001-12-20,0.7496809216900449,0.02020851178441827,0.0051453394279761255,0.00011221285080452795,0.6910803930073312,0.5583757047763506
51:0102,2001-12-21,0.7449493364244202,0.020138992399653517,0.000413754162351454,4.269346603977611e-05,0.05557211397397215,0.21244442163609337
51:0102,2001-12-24,0.7436117947614362,0.02009690950381893,-0.0009237875006324892,6.105702051902029e-07,-0.12407566846245444,0.0030382221483028536
51:0102,2001-12-26,0.7438231097046372,0.019966053418956783,-0.0007124725574315649,-0.000130245514656957,-0.09569355372740024,-0.6481069727675278
51:0102,2001-12-27,0.7173847030109372,0.020096318440804353,-0.027150879251131577,1.9507190612833014e-08,-3.646686592014987,9.706857306050835e-05
51:0102,2001-12-28,0.7516037323877781,0.020111948392495735,0.007068150125709383,1.5649458881994427e-05,0.9493367804174963,0.07787234322942231
51:0102,2001-12-31,0.7402031708231404,0.020862554789109717,-0.004332411438928374,0.0007662558554959766,-0.5818944778657215,3.8129202696836453
51:0102,2002-01-02,0.7262891082941534,0.020190038624166764,-0.018246473967915344,9.373969055302342e-05,-2.450718864567681,0.4664525088061428
51:0102,2002-01-03,0.756799269602378,0.02027407277101272,0.012263687340309248,0.00017777383739897915,1.6471593342858608,0.8846098377927126
51:0102,2002-01-04,0.7473789693503892,0.019919102416215806,0.002843387088320437,-0.00017719651739793452,0.3819007655324651,-0.8817370700111835
51:0102,2002-01-07,0.6955914074691677,0.02015934711653992,-0.04894417479290103,6.304818292618072e-05,-6.5737858550960695,0.3137303198686213
51:0102,2002-01-08,0.7322964827605767,0.01931296355528422,-0.012239099501492046,-0.0007833353783295201,-1.6438568945633025,-3.8979086692390266
51:0102,2002-01-09,0.7457595941424744,0.020441173623390988,0.0012240118804056621,0.0003448746897772477,0.1643993799042935,1.7161104684823272
51:0102,2002-01-10,0.7448226308225353,0.02011101499219028,0.000287048560466574,1.4716058576540875e-05,0.0385540419162312,0.07322770538572305
51:0102,2002-01-11,0.7801874505252777,0.020098922662674986,0.035651868263208986,2.623729061245611e-06,4.7884707074563835,0.013055782410049017
