"outcome","observations","first_time","last_time","min_probability","max_probability"
"25 bps decrease",688,2026-07-22 09:00:05,2026-07-29 13:30:06,0.0015,0.0045
"25 bps increase",688,2026-07-22 09:00:05,2026-07-29 13:30:06,0.1585,0.2845
"50+ bps decrease",686,2026-07-22 09:00:06,2026-07-29 13:30:24,5e-04,0.0015
"50+ bps increase",653,2026-07-22 09:00:07,2026-07-29 13:30:54,0.0025,0.0085
"No change",653,2026-07-22 09:00:07,2026-07-29 13:30:54,0.7085,0.8395
